City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,chinchilla,-26.75,150.6333,30.810000000000002,27,0,3.47,AU,1699673714
153,ibshaway,29.358,30.6814,20.510000000000048,74,100,5.33,EG,1699673714
154,kodiak,57.79,-152.4072,1.7300000000000182,51,0,7.72,US,1699673715
155,sandakan,5.8402,118.1179,25.82000000000005,94,40,3.09,MY,1699673716
156,murzuq,25.9155,13.9184,18.58000000000004,36,0,2.83,LY,1699673716
157,usogorsk,63.4106,48.6872,0.37000000000000455,96,49,3.09,RU,1699673717
158,morondava,-20.2833,44.2833,24.410000000000025,64,0,2.19,MG,1699673717
159,argo,37.6333,22.7333,13.770000000000039,84,82,1.77,GR,1699673440
160,soe,-9.8607,124.284,31.99000000000001,34,9,4.32,ID,1699673718
161,bontang,0.1333,117.5,30.79000000000002,63,88,3.47,ID,1699673718
162,sola,-13.8833,167.55,27.370000000000005,83,75,5.14,VU,1699673719
163,east ballina,-28.8667,153.5833,25.439999999999998,65,39,4.06,AU,1699673719
164,benguela,-12.5763,13.4055,25.160000000000025,71,99,1.81,AO,1699673720
165,la libertad,-2.2333,-80.9,22.810000000000002,81,100,4.15,EC,1699673720
166,mariehamn,60.0973,19.9348,6.57000000000005,100,40,0.51,AX,1699673721
167,anna regina,7.2644,-58.5077,27.470000000000027,81,14,4.63,GY,1699673721
168,porto novo,6.4965,2.6036,26.390000000000043,87,96,2.69,BJ,1699673722
169,alenquer,-1.9417,-54.7383,26.410000000000025,67,11,1.66,BR,1699673722
170,chernyshevskiy,63.0128,112.4714,-9.609999999999957,72,87,4.48,RU,1699673722
171,la passe,45.5549,-0.8967,9.129999999999995,72,100,2.27,FR,1699673723
172,puryong,42.0606,129.7117,0.7800000000000296,23,0,2.12,KP,1699673723
173,punta arenas,-53.15,-70.9167,7.060000000000002,81,100,3.6,CL,1699673486
174,selendi,38.7444,28.8678,13.82000000000005,68,73,2.29,TR,1699673724
175,bodaybo,57.8506,114.1933,-7.729999999999961,91,100,1.19,RU,1699673724
176,miyaly,48.8844,53.7836,6.090000000000032,73,99,6.9,KZ,1699673725
177,lompoc,34.6391,-120.4579,13.210000000000036,89,0,0.0,US,1699673725
178,vazante,-17.9869,-46.9078,23.25,34,6,0.03,BR,1699673726
179,zhalantun,48.0,122.7167,-7.169999999999959,68,84,4.18,CN,1699673726
180,pyshma,56.9523,63.2513,3.2700000000000387,94,100,3.43,RU,1699673726
181,swift current,50.2834,-107.8014,0.4500000000000455,86,100,6.17,CA,1699673573
182,port augusta,-32.5,137.7667,26.54000000000002,34,9,9.75,AU,1699673727
183,pisco,-13.7,-76.2167,18.03000000000003,88,0,5.14,PE,1699673727
184,naracoorte,-36.9579,140.7383,23.83000000000004,20,65,7.42,AU,1699673728
185,tindouf,27.6711,-8.1474,18.25,25,0,2.57,DZ,1699673728
186,hamilton,39.1834,-84.5333,9.490000000000009,55,0,3.6,US,1699673090
187,katabu,-4.9333,122.5167,35.22000000000003,35,87,0.7,ID,1699673729
188,wailua homesteads,22.0669,-159.378,27.24000000000001,85,75,5.66,US,1699673729
189,lorengau,-2.0226,147.2712,28.170000000000016,79,100,4.93,PG,1699673730
190,cabo san lucas,22.8909,-109.9124,27.090000000000032,74,0,1.54,MX,1699673651
191,gamba,-2.65,10.0,23.53000000000003,95,100,2.45,GA,1699673730
192,bilibino,68.0546,166.4372,-28.71999999999997,100,98,1.44,RU,1699673731
193,khandyga,62.6667,135.6,-27.49999999999997,95,89,0.08,RU,1699673731
194,qaqortoq,60.7167,-46.0333,-6.539999999999964,58,39,4.48,GL,1699673732
195,mhamid,29.82,-5.72,19.640000000000043,27,2,1.31,MA,1699673443
196,pekan,3.4836,103.3996,31.060000000000002,73,96,1.49,MY,1699673733
197,olonkinbyen,70.9221,-8.7187,1.4600000000000364,85,100,3.67,SJ,1699673733
198,krasnyy chikoy,50.3643,108.7512,-7.949999999999989,62,25,1.41,RU,1699673733
199,novyy urgal,51.0736,132.5642,-8.870000000000005,67,67,0.33,RU,1699673734
200,yarmouth,41.7057,-70.2286,10.010000000000048,70,0,7.15,US,1699673575
201,tauranga,-37.6861,176.1667,18.410000000000025,69,18,3.13,NZ,1699673734
202,roses,42.262,3.1769,11.75,87,60,1.34,ES,1699673735
203,magdagachi,53.45,125.8,-7.819999999999993,40,1,3.29,RU,1699673735
204,mar del plata,-38.0023,-57.5575,16.010000000000048,83,100,14.75,AR,1699673736
205,coquimbo,-29.9533,-71.3436,15.850000000000023,88,100,2.06,CL,1699673736
206,luwuk,-0.9516,122.7875,30.450000000000045,67,89,1.74,ID,1699673736
207,carnarvon,-24.8667,113.6333,23.660000000000025,57,1,8.67,AU,1699673737
208,constantia,44.1833,28.65,13.379999999999995,84,99,7.89,RO,1699673439
209,ratnagiri,16.9833,73.3,30.170000000000016,56,59,2.53,IN,1699673737
210,laguna,38.421,-121.4238,14.620000000000005,62,0,0.0,US,1699673738
211,charters towers,-20.1,146.2667,34.43000000000001,20,94,6.89,AU,1699673738
212,greenville,35.6127,-77.3663,11.970000000000027,78,100,2.57,US,1699673590
213,togur,58.3631,82.8265,-1.0299999999999727,96,100,2.68,RU,1699673739
214,smara,26.7384,-11.6719,17.650000000000034,60,1,2.74,EH,1699673739
215,mocimboa,-11.3167,40.35,26.629999999999995,81,24,3.42,MZ,1699673740
216,betare oya,5.6,14.0833,19.220000000000027,97,93,1.25,CM,1699673740
217,ipatovo,45.7181,42.9036,4.170000000000016,77,20,3.94,RU,1699673740
218,laiyang,36.9758,120.7136,6.160000000000025,55,70,1.73,CN,1699673741
219,port douglas,-16.4833,145.4667,26.610000000000014,68,34,5.86,AU,1699673741
220,tongouson,5.0214,120.1328,28.49000000000001,74,75,2.31,PH,1699673741
221,taltal,-25.4,-70.4833,17.54000000000002,77,8,1.01,CL,1699673742
222,malango,-2.9627,119.9001,26.100000000000023,66,96,0.17,ID,1699673742
223,dunedin,-45.8742,170.5036,15.450000000000045,64,1,5.36,NZ,1699673742
224,labrador city,52.9463,-66.9114,-10.049999999999955,92,75,1.03,CA,1699673743
225,revda,56.801,59.9303,1.6100000000000136,100,100,0.64,RU,1699673743
226,caucete,-31.6518,-68.2811,18.930000000000007,62,0,6.6,AR,1699673743
227,usinsk,65.9939,57.5281,-5.519999999999982,81,98,2.24,RU,1699673744
228,al 'aziziyah,32.9058,45.0616,21.52000000000004,31,28,1.65,IQ,1699673744
229,kendraparha,20.5,86.4167,27.680000000000007,47,8,3.07,IN,1699673744
230,whitehorse,60.7161,-135.0538,-0.5499999999999545,100,100,1.03,CA,1699673628
231,new norfolk,-42.7826,147.0587,16.720000000000027,38,29,4.26,AU,1699673745
232,tobelo,1.7284,128.0095,28.590000000000032,74,84,0.56,ID,1699673728
233,malakal,9.5334,31.6605,23.83000000000004,79,98,1.32,SS,1699673746
234,aberdeen,57.1437,-2.0981,6.410000000000025,96,75,5.66,GB,1699673481
235,loreto,22.2667,-101.9667,16.379999999999995,79,100,4.61,MX,1699673746
236,jakobstad,63.6749,22.7026,-1.7099999999999795,85,100,7.55,FI,1699673747
237,porirua,-41.1333,174.85,17.680000000000007,68,4,3.71,NZ,1699673681
238,burang,30.25,81.1667,-1.6299999999999955,55,53,1.87,CN,1699673747
239,kerema,-7.9631,145.7785,27.910000000000025,71,54,4.17,PG,1699673748
240,chibougamau,49.9168,-74.3659,-7.2099999999999795,93,100,3.09,CA,1699673748
241,san pedro pochutla,15.7333,-96.4667,23.930000000000007,91,5,1.8,MX,1699673749
242,acarau,-2.8856,-40.12,26.210000000000036,77,17,7.9,BR,1699673749
243,amontada,-3.3617,-39.8317,25.420000000000016,74,8,3.8,BR,1699673749
244,bathsheba,13.2167,-59.5167,27.340000000000032,89,40,8.23,BB,1699673750
245,bodo,67.28,14.405,-2.349999999999966,71,0,5.66,NO,1699673697
246,afaahiti,-17.75,-149.2833,27.930000000000007,84,100,5.19,PF,1699673462
247,eyl,7.9803,49.8164,26.760000000000048,78,94,4.56,SO,1699673751
248,harper,4.375,-7.7169,24.600000000000023,90,48,3.0,LR,1699673519
249,kerikeri,-35.2268,173.9474,17.55000000000001,62,44,2.86,NZ,1699673751
250,malpica,43.3228,-8.8105,17.430000000000007,83,100,6.75,ES,1699673752
251,saipan,15.1355,145.701,31.390000000000043,66,20,7.72,MP,1699673752
252,samana,19.2056,-69.3369,26.189999999999998,88,96,5.03,DO,1699673753
253,east london,-33.0153,27.9116,17.52000000000004,94,75,8.9,ZA,1699673753
254,happy valley-goose bay,53.3168,-60.3315,-2.829999999999984,80,75,4.63,CA,1699673753
255,siocon,7.7061,122.1353,31.220000000000027,64,9,1.44,PH,1699673754
256,barranca,-10.75,-77.7667,18.510000000000048,85,43,2.95,PE,1699673754
257,akobo,7.4344,3.9497,25.75,94,20,2.06,NG,1699673754
258,khromtau,50.2503,58.4347,3.1100000000000136,93,100,5.31,KZ,1699673755
259,abepura,-2.6333,140.5833,34.450000000000045,46,20,4.12,ID,1699673755
260,gay,51.4666,58.4552,4.400000000000034,89,100,3.6,RU,1699673755
261,callao,-12.0667,-77.15,20.160000000000025,73,0,6.17,PE,1699673756
262,sur,22.5667,59.5289,27.439999999999998,57,20,4.63,OM,1699673756
263,palmer,42.1584,-72.3287,6.210000000000036,76,75,1.54,US,1699673756
264,madimba,-10.4,40.3333,26.600000000000023,82,17,3.36,TZ,1699673757
265,jayapura,-2.5333,140.7,34.660000000000025,74,100,3.82,ID,1699673757
266,labytnangi,66.6572,66.4183,-11.399999999999977,93,100,2.46,RU,1699673757
267,lasem,-6.6922,111.4527,33.01000000000005,50,18,2.28,ID,1699673758
268,walvis bay,-22.9575,14.5053,15.53000000000003,94,68,1.03,NA,1699673758
269,boca suno,-0.7167,-77.1333,22.160000000000025,97,100,0.98,EC,1699673758
270,kitimat,54.0524,-128.6534,1.2100000000000364,100,100,1.59,CA,1699673759
271,port alfred,-33.5906,26.891,18.430000000000007,90,76,4.02,ZA,1699673759
272,mahdia,35.5047,11.0622,17.970000000000027,62,28,5.88,TN,1699673760
273,lata,40.1629,-8.3327,17.260000000000048,99,100,2.48,PT,1699673760
274,blagoveshchensk,50.2667,127.5333,-8.659999999999968,48,20,6.0,RU,1699673760
275,pitimbu,-7.4706,-34.8086,26.33000000000004,74,5,5.31,BR,1699673761
276,manay,7.215,126.5397,30.480000000000018,68,46,4.67,PH,1699673761
277,rio grande,-32.035,-52.0986,18.30000000000001,92,95,9.02,BR,1699673489
278,kibre mengist,5.8833,38.9833,14.230000000000018,93,44,0.89,ET,1699673762
279,witbank,-25.8713,29.2332,15.810000000000002,75,5,3.81,ZA,1699673762
280,mugia,43.1041,-9.2179,16.620000000000005,97,100,8.25,ES,1699673763
281,yueyang,29.3333,113.0919,7.800000000000011,82,100,6.2,CN,1699673763
282,moussoro,13.6408,16.4901,26.950000000000045,20,88,5.14,TD,1699673763
283,nabire,-3.3667,135.4833,31.600000000000023,59,89,2.72,ID,1699673764
284,kaa-khem,51.6833,94.7333,-16.439999999999998,79,5,0.97,RU,1699673764
285,zaysan,47.4667,84.8667,2.590000000000032,97,100,1.72,KZ,1699673765
286,amga,60.8953,131.9608,-21.25999999999999,92,100,0.78,RU,1699673765
287,riachao,-7.3619,-46.6172,25.910000000000025,58,15,1.45,BR,1699673766
288,gannan,47.9147,123.5031,-5.439999999999998,57,53,3.66,CN,1699673766
289,sakaiminato,35.55,133.2333,12.960000000000036,94,75,8.75,JP,1699673766
290,ceerigaabo,10.6162,47.368,17.08000000000004,59,100,1.21,SO,1699673767
291,tarkwa,5.3064,-1.9847,23.480000000000018,98,76,1.49,GH,1699673767
292,tanabe,33.7333,135.3667,18.560000000000002,52,75,5.66,JP,1699673767
293,vilyuchinsk,52.9306,158.4028,2.150000000000034,99,100,0.81,RU,1699673768
294,sangmelima,2.9333,11.9833,19.77000000000004,99,100,0.83,CM,1699673768
295,itaituba,-4.2761,-55.9836,26.74000000000001,69,66,0.75,BR,1699673769
296,menaka,15.9182,2.4022,25.5,13,65,3.83,ML,1699673769
297,hopkinsville,36.8656,-87.4886,9.620000000000005,68,100,3.67,US,1699673674
298,puerto leguizamo,-0.1934,-74.7819,22.07000000000005,97,100,1.07,CO,1699673770
299,tabou,4.423,-7.3528,24.450000000000045,90,33,2.56,CI,1699673770
300,tolanaro,-25.0319,46.9987,19.04000000000002,88,40,2.06,MG,1699673771
301,buxton,53.2574,-1.9098,4.910000000000025,95,47,2.82,GB,1699673771
302,ekibastuz,51.6667,75.3667,4.1200000000000045,73,92,3.58,KZ,1699673771
303,mpongwe,-13.5091,28.155,19.730000000000018,76,100,3.62,ZM,1699673658
304,formiga,-20.4644,-45.4264,21.870000000000005,56,60,2.26,BR,1699673619
305,caconda,-13.7333,15.0667,17.840000000000032,82,100,0.55,AO,1699673772
306,kalemie,-5.9475,29.1947,22.439999999999998,84,100,1.8,CD,1699673773
307,pajara,28.3504,-14.1076,20.730000000000018,88,12,6.18,ES,1699673773
308,akureyri,65.6835,-18.0878,-6.039999999999964,93,0,0.0,IS,1699673773
309,sinabang,2.4803,96.3801,27.78000000000003,75,100,0.35,ID,1699673774
310,viedma,-40.8135,-62.9967,16.32000000000005,77,100,9.75,AR,1699673774
311,roma,43.2128,-75.4557,6.010000000000048,82,100,2.06,US,1699673523
312,carutapera,-1.195,-46.02,26.730000000000018,77,40,4.99,BR,1699673775
313,kruisfontein,-34.0033,24.7314,16.970000000000027,87,40,9.98,ZA,1699673775
314,shahpur,16.7,76.8333,26.410000000000025,58,60,3.05,IN,1699673775
315,rongelap,11.1635,166.8941,26.57000000000005,87,100,7.92,MH,1699673776
316,sigli,5.3848,95.9609,28.650000000000034,71,100,1.18,ID,1699673776
317,veraval,20.9,70.3667,30.54000000000002,47,11,4.3,IN,1699673777
318,gubkinskiy,64.434,76.5026,-5.599999999999966,94,100,3.23,RU,1699673777
319,hammerfest,70.6634,23.6821,0.25,100,75,3.09,NO,1699673494
